Campaign_ID,Campaign_Name,Channel,Impressions,Clicks,CTR,Conversions,CPA,Spend,Revenue,ROI,Status
CID_1,Campaign_C_1,LinkedIn Ads,131958,5775,0.0438,122,400.9439956359307,48915.17,9449.399034383032,-0.81,Paused
CID_2,Campaign_B_2,Facebook Ads,156867,261,0.0017,11,338.9142407694295,3728.06,6116.490395692162,0.64,Active
CID_3,Campaign_B_3,Facebook Ads,141932,4397,0.031,139,87.86298424777198,12212.95,53604.10852524665,3.39,Paused
CID_4,Campaign_A_4,Email Marketing,375838,1095,0.0029,229,122.73292134257619,28105.84,54522.87703940055,0.94,Active
CID_5,Campaign_B_5,LinkedIn Ads,269178,11634,0.0432,63,454.34938483718565,28624.01,64105.56024832245,1.24,Active
CID_6,Campaign_A_6,Email Marketing,129879,7729,0.0595,352,322.89307684681546,113658.36,72883.0420385435,-0.36,Paused
CID_7,Campaign_A_7,LinkedIn Ads,120268,1116,0.0093,494,54.13867322748334,26744.5,97609.35586679092,2.65,Completed
CID_8,Campaign_B_8,Facebook Ads,217892,8629,0.0396,233,95.66219428971445,22289.29,52113.734481818334,1.34,Paused
CID_9,Campaign_A_9,Google Ads,64886,17362,0.2676,234,348.5757960986251,81566.74,32972.69082118335,-0.6,Completed
CID_10,Campaign_B_10,Email Marketing,147337,9368,0.0636,394,52.277712730798406,20597.42,79723.43328210166,2.87,Active
CID_11,Campaign_B_11,Google Ads,485602,12285,0.0253,412,122.3636231378744,50413.81,27812.392874945348,-0.45,Active
CID_12,Campaign_B_12,Email Marketing,440410,6431,0.0146,135,296.93020521496373,40085.58,44458.17064985797,0.11,Active
CID_13,Campaign_C_13,Google Ads,97498,8671,0.0889,139,361.35283896171194,50228.04,8767.18175288433,-0.83,Paused
CID_14,Campaign_C_14,LinkedIn Ads,384871,7308,0.019,62,343.3825667761702,21289.72,3509.7235981302933,-0.84,Paused
CID_15,Campaign_C_15,Email Marketing,398468,5376,0.0135,181,150.9211892572519,27316.74,96302.19305311458,2.53,Completed
CID_16,Campaign_C_16,Google Ads,185203,18546,0.1001,227,370.4806496063911,84099.11,83762.03193070837,-0.0,Active
CID_17,Campaign_B_17,LinkedIn Ads,201335,16548,0.0822,169,156.76208937356003,26492.79,69901.4464032761,1.64,Completed
CID_18,Campaign_A_18,Facebook Ads,288167,16316,0.0566,207,196.4298641716705,40660.98,41486.34149701272,0.02,Paused
CID_19,Campaign_C_19,Google Ads,51090,8106,0.1587,425,385.9211323031109,164016.48,18156.137687013732,-0.89,Completed
CID_20,Campaign_A_20,Email Marketing,339365,2668,0.0079,256,342.3348045712466,87637.71,16487.26722443752,-0.81,Active
CID_21,Campaign_C_21,Email Marketing,74820,2127,0.0284,333,432.1505347223801,143906.13,25774.04691829494,-0.82,Paused
CID_22,Campaign_A_22,Facebook Ads,272913,2795,0.0102,448,345.9258015351545,154974.76,55373.439805905924,-0.64,Active
CID_23,Campaign_B_23,Facebook Ads,331879,15522,0.0468,212,305.7388715009622,64816.64,71744.99634730617,0.11,Completed
CID_24,Campaign_B_24,Email Marketing,204027,5358,0.0263,193,92.15364552264161,17785.65,66359.5402950554,2.73,Active
CID_25,Campaign_B_25,LinkedIn Ads,337069,6836,0.0203,132,215.4721113767451,28442.32,28713.45579764834,0.01,Completed
CID_26,Campaign_A_26,Google Ads,262709,491,0.0019,410,169.34106545677645,69429.84,95531.66278565621,0.38,Active
CID_27,Campaign_B_27,LinkedIn Ads,209041,14086,0.0674,264,159.79533952058762,42185.97,74051.79475288108,0.76,Active
CID_28,Campaign_C_28,Email Marketing,277455,12766,0.046,303,487.85474963860054,147819.99,55881.051198628666,-0.62,Active
CID_29,Campaign_B_29,Google Ads,113355,5992,0.0529,289,226.89397610004218,65572.36,61560.35387720087,-0.06,Completed
CID_30,Campaign_B_30,Email Marketing,245796,3661,0.0149,334,451.420949829701,150774.6,42540.4061803512,-0.72,Paused
CID_31,Campaign_A_31,Google Ads,224176,6284,0.028,381,334.0123816987683,127258.72,25525.36796061459,-0.8,Paused
CID_32,Campaign_B_32,Email Marketing,194779,19583,0.1005,107,407.66508659374176,43620.16,36241.2951864749,-0.17,Completed
CID_33,Campaign_B_33,LinkedIn Ads,357449,8492,0.0238,207,276.18669189733646,57170.65,76026.76493597255,0.33,Completed
CID_34,Campaign_B_34,Facebook Ads,431909,13167,0.0305,479,309.6067480818616,148301.63,2424.955374345831,-0.98,Completed
CID_35,Campaign_A_35,Facebook Ads,475148,15365,0.0323,404,271.63296221848873,109739.72,12491.191410184707,-0.89,Completed
CID_36,Campaign_B_36,Google Ads,268795,19588,0.0729,249,137.85934450912004,34326.98,5554.261560153522,-0.84,Active
CID_37,Campaign_C_37,Facebook Ads,496232,2554,0.0051,153,375.1034518676774,57390.83,5032.1514295780435,-0.91,Paused
CID_38,Campaign_C_38,LinkedIn Ads,402752,11937,0.0296,106,176.3475630983851,18692.84,85690.59781708971,3.58,Active
CID_39,Campaign_C_39,Google Ads,166730,14139,0.0848,210,60.942184894154224,12797.86,70662.12807862235,4.52,Completed
CID_40,Campaign_A_40,Email Marketing,356622,19215,0.0539,133,340.46253315822554,45281.52,47943.209079645196,0.06,Paused
CID_41,Campaign_B_41,Google Ads,394681,11065,0.028,196,129.699805733172,25421.16,10685.581904449147,-0.58,Completed
CID_42,Campaign_B_42,Facebook Ads,159503,9862,0.0618,335,473.20636295881144,158524.13,49669.971636566406,-0.69,Active
CID_43,Campaign_C_43,LinkedIn Ads,140523,5156,0.0367,473,479.2678596511643,226693.7,47873.705307276,-0.79,Paused
CID_44,Campaign_C_44,Google Ads,12747,15048,1.1805,358,461.68897559920185,165284.65,18146.985121091504,-0.89,Active
CID_45,Campaign_A_45,Email Marketing,133855,8210,0.0613,268,216.57141511494999,58041.14,43951.31327455933,-0.24,Active
CID_46,Campaign_C_46,Email Marketing,462366,13873,0.03,157,56.95547743799034,8942.01,40451.96870533997,3.52,Active
CID_47,Campaign_C_47,Email Marketing,75725,17512,0.2313,261,467.74335316447645,122081.02,61969.15970716943,-0.49,Active
CID_48,Campaign_A_48,Facebook Ads,139981,602,0.0043,452,242.68286674279145,109692.66,63874.271435896735,-0.42,Completed
CID_49,Campaign_A_49,Email Marketing,94654,7010,0.0741,429,484.9946685696513,208062.71,5485.096967432407,-0.97,Paused
CID_50,Campaign_C_50,Email Marketing,438989,12785,0.0291,412,483.6289896901638,199255.14,38086.64884802065,-0.81,Active
CID_51,Campaign_B_51,Email Marketing,391490,306,0.0008,355,433.854254960312,154018.26,62960.1316557094,-0.59,Completed
CID_52,Campaign_C_52,Facebook Ads,77435,17968,0.232,460,182.50200143131357,83950.92,50810.489599428685,-0.39,Paused
CID_53,Campaign_A_53,Email Marketing,329030,16034,0.0487,156,223.29397787086637,34833.86,85792.4942776439,1.46,Completed
CID_54,Campaign_A_54,Email Marketing,338947,17347,0.0512,157,433.0115021825856,67982.81,66210.66953027555,-0.03,Completed
CID_55,Campaign_C_55,Google Ads,41551,19274,0.4639,361,192.61490232032494,69533.98,17130.50828106154,-0.75,Paused
CID_56,Campaign_B_56,Email Marketing,388360,8855,0.0228,208,126.27173600874161,26264.52,7986.305992642555,-0.7,Paused
CID_57,Campaign_B_57,LinkedIn Ads,283538,12483,0.044,317,300.56056810625756,95277.7,64599.50854242525,-0.32,Completed
CID_58,Campaign_A_58,Facebook Ads,341236,18241,0.0535,498,471.2696483723514,234692.28,3624.6197436205593,-0.98,Paused
CID_59,Campaign_A_59,Google Ads,13890,14920,1.0742,426,363.21340850373787,154728.91,58991.78254607286,-0.62,Active
CID_60,Campaign_A_60,Facebook Ads,51606,7674,0.1487,433,306.52752654021424,132726.42,94082.7939010708,-0.29,Paused
CID_61,Campaign_A_61,Facebook Ads,499492,6474,0.013,137,93.72942219684583,12840.93,57971.94360971202,3.51,Completed
CID_62,Campaign_A_62,Email Marketing,266840,1778,0.0067,48,326.75325201462636,15684.16,39428.82269444567,1.51,Completed
CID_63,Campaign_A_63,Facebook Ads,483254,19726,0.0408,347,495.5242325469185,171946.91,64685.53362579297,-0.62,Paused
CID_64,Campaign_B_64,Facebook Ads,359457,1159,0.0032,369,113.03780685643582,41710.95,46367.03615866014,0.11,Paused
CID_65,Campaign_A_65,LinkedIn Ads,151699,16298,0.1074,138,283.24834356368154,39088.27,55016.06214227756,0.41,Active
CID_66,Campaign_A_66,Email Marketing,280936,10014,0.0356,276,444.81788236757995,122769.74,94205.016068876,-0.23,Completed
CID_67,Campaign_C_67,Google Ads,249931,19641,0.0786,485,383.345877989392,185922.75,39224.16114227665,-0.79,Paused
CID_68,Campaign_B_68,Facebook Ads,249629,10917,0.0437,450,363.6570834478706,163645.69,96157.8658185675,-0.41,Paused
CID_69,Campaign_C_69,Facebook Ads,215041,11021,0.0513,482,366.11783779419915,176468.8,90629.7135536503,-0.49,Active
CID_70,Campaign_A_70,Google Ads,184073,9889,0.0537,443,211.77101804888983,93814.56,20383.322344140346,-0.78,Paused
CID_71,Campaign_B_71,Facebook Ads,217624,16412,0.0754,160,182.116329919022,29138.61,7866.76878664138,-0.73,Active
CID_72,Campaign_C_72,Email Marketing,427113,11352,0.0266,424,414.2125199653311,175626.11,10977.022136365238,-0.94,Active
CID_73,Campaign_C_73,Google Ads,78148,2793,0.0357,487,414.55102760563136,201886.35,2803.960739503423,-0.99,Paused
CID_74,Campaign_A_74,Facebook Ads,262801,14031,0.0534,307,440.18254336104667,135136.04,10349.853114836911,-0.92,Paused
CID_75,Campaign_C_75,Facebook Ads,134243,3727,0.0278,108,460.9582486504121,49783.49,68617.67056821933,0.38,Active
